id,phase,title,filename,reasoning,depends_on
016,02 Identity and sessions,Define the OAuth/OIDC provider adapter architecture,prompts/016_define_the_oauth_oidc_provider_adapter_architecture.md,high,015
017,02 Identity and sessions,"Implement Google OIDC authorization start with PKCE, state and nonce",prompts/017_implement_google_oidc_authorization_start_with_pkce_state_and_nonce.md,xhigh,016
018,02 Identity and sessions,Implement Google OIDC callback and token validation,prompts/018_implement_google_oidc_callback_and_token_validation.md,xhigh,017
019,02 Identity and sessions,Implement the GitHub OAuth sign-in adapter,prompts/019_implement_the_github_oauth_sign_in_adapter.md,high,018
020,02 Identity and sessions,Implement identity linking and collision prevention,prompts/020_implement_identity_linking_and_collision_prevention.md,xhigh,019
021,02 Identity and sessions,"Harden session rotation, revocation and device management",prompts/021_harden_session_rotation_revocation_and_device_management.md,high,020
022,02 Identity and sessions,Build authentication and first-run onboarding UI,prompts/022_build_authentication_and_first_run_onboarding_ui.md,medium,021
023,02 Identity and sessions,Add authentication rate limits and security regression suite,prompts/023_add_authentication_rate_limits_and_security_regression_suite.md,xhigh,022
024,"03 Organizations, membership and RBAC","Implement organizations, slugs and current tenant context",prompts/024_implement_organizations_slugs_and_current_tenant_context.md,xhigh,023
025,"03 Organizations, membership and RBAC","Build organization creation, settings and switcher flows",prompts/025_build_organization_creation_settings_and_switcher_flows.md,medium,024
026,"03 Organizations, membership and RBAC",Implement membership lifecycle,prompts/026_implement_membership_lifecycle.md,high,025
027,"03 Organizations, membership and RBAC",Implement teams and team memberships,prompts/027_implement_teams_and_team_memberships.md,high,026
028,"03 Organizations, membership and RBAC",Implement secure organization invitations,prompts/028_implement_secure_organization_invitations.md,xhigh,027
029,"03 Organizations, membership and RBAC",Seed permissions and immutable system roles,prompts/029_seed_permissions_and_immutable_system_roles.md,high,028
030,"03 Organizations, membership and RBAC",Implement scoped role assignments,prompts/030_implement_scoped_role_assignments.md,xhigh,029
031,"03 Organizations, membership and RBAC",Implement the authorization decision service,prompts/031_implement_the_authorization_decision_service.md,xhigh,030
032,"03 Organizations, membership and RBAC","Enforce authorization in controllers, views, jobs and API boundaries",prompts/032_enforce_authorization_in_controllers_views_jobs_and_api_boundaries.md,high,031
033,"03 Organizations, membership and RBAC",Implement organization ownership transfer with recent authentication,prompts/033_implement_organization_ownership_transfer_with_recent_authentication.md,xhigh,032
034,"03 Organizations, membership and RBAC",Enforce last-owner and member-removal invariants,prompts/034_enforce_last_owner_and_member_removal_invariants.md,xhigh,033
035,"03 Organizations, membership and RBAC",Complete tenancy and RBAC audit coverage,prompts/035_complete_tenancy_and_rbac_audit_coverage.md,high,034
036,"04 Plans, entitlements, usage and billing",Implement plans and immutable plan versions,prompts/036_implement_plans_and_immutable_plan_versions.md,high,035
037,"04 Plans, entitlements, usage and billing",Implement plan catalog publishing and grandfathering,prompts/037_implement_plan_catalog_publishing_and_grandfathering.md,xhigh,036
038,"04 Plans, entitlements, usage and billing",Implement typed entitlement definitions and resolution,prompts/038_implement_typed_entitlement_definitions_and_resolution.md,xhigh,037
039,"04 Plans, entitlements, usage and billing",Implement immutable usage ledger and metering windows,prompts/039_implement_immutable_usage_ledger_and_metering_windows.md,xhigh,038
040,"04 Plans, entitlements, usage and billing",Implement atomic quota reservations and finalization,prompts/040_implement_atomic_quota_reservations_and_finalization.md,xhigh,039
041,"04 Plans, entitlements, usage and billing","Build pricing, plan comparison and usage UI",prompts/041_build_pricing_plan_comparison_and_usage_ui.md,medium,040
042,"04 Plans, entitlements, usage and billing",Create the unified permission-entitlement-quota access boundary,prompts/042_create_the_unified_permission_entitlement_quota_access_boundary.md,xhigh,041
043,"04 Plans, entitlements, usage and billing",Define the provider-neutral billing contract,prompts/043_define_the_provider_neutral_billing_contract.md,high,042
044,"04 Plans, entitlements, usage and billing",Implement the Lemon Squeezy billing client,prompts/044_implement_the_lemon_squeezy_billing_client.md,high,043
045,"04 Plans, entitlements, usage and billing",Implement hosted checkout and customer portal flows,prompts/045_implement_hosted_checkout_and_customer_portal_flows.md,high,044
046,"04 Plans, entitlements, usage and billing","Implement billing webhook ingress, signature verification and durable storage",prompts/046_implement_billing_webhook_ingress_signature_verification_and_durable_storage.md,xhigh,045
047,"04 Plans, entitlements, usage and billing",Implement idempotent asynchronous billing event projection,prompts/047_implement_idempotent_asynchronous_billing_event_projection.md,xhigh,046
048,"04 Plans, entitlements, usage and billing",Implement subscription lifecycle and access policy,prompts/048_implement_subscription_lifecycle_and_access_policy.md,xhigh,047
049,"04 Plans, entitlements, usage and billing",Add billing reconciliation and support operations,prompts/049_add_billing_reconciliation_and_support_operations.md,xhigh,048
050,"05 Projects, properties and verification",Implement project aggregate and lifecycle,prompts/050_implement_project_aggregate_and_lifecycle.md,high,049
051,"05 Projects, properties and verification",Implement polymorphic property model and typed configurations,prompts/051_implement_polymorphic_property_model_and_typed_configurations.md,high,050
052,"05 Projects, properties and verification",Implement environments and canonical URL origin normalization,prompts/052_implement_environments_and_canonical_url_origin_normalization.md,xhigh,051
053,"05 Projects, properties and verification",Create the domain verification aggregate and lifecycle,prompts/053_create_the_domain_verification_aggregate_and_lifecycle.md,high,052
054,"05 Projects, properties and verification",Implement DNS TXT domain verification,prompts/054_implement_dns_txt_domain_verification.md,xhigh,053
055,"05 Projects, properties and verification",Implement HTML file and meta-tag verification,prompts/055_implement_html_file_and_meta_tag_verification.md,xhigh,054
056,"05 Projects, properties and verification",Implement Search Console ownership verification,prompts/056_implement_search_console_ownership_verification.md,high,055
057,"05 Projects, properties and verification",Build the guided project and property onboarding wizard,prompts/057_build_the_guided_project_and_property_onboarding_wizard.md,high,056
058,"05 Projects, properties and verification",Implement crawl settings and policy configuration,prompts/058_implement_crawl_settings_and_policy_configuration.md,xhigh,057
059,"05 Projects, properties and verification",Complete project- and property-scoped access enforcement,prompts/059_complete_project_and_property_scoped_access_enforcement.md,xhigh,058
060,"05 Projects, properties and verification","Implement archive, deletion and retention workflows",prompts/060_implement_archive_deletion_and_retention_workflows.md,xhigh,059
061,"05 Projects, properties and verification",Build project dashboard and baseline readiness views,prompts/061_build_project_dashboard_and_baseline_readiness_views.md,medium,060
062,06 Safe crawling and rendering,Implement the scan aggregate and state machine,prompts/062_implement_the_scan_aggregate_and_state_machine.md,xhigh,061
063,06 Safe crawling and rendering,"Implement scan admission, idempotency and preflight",prompts/063_implement_scan_admission_idempotency_and_preflight.md,xhigh,062
064,06 Safe crawling and rendering,Implement the PostgreSQL crawl frontier with leasing,prompts/064_implement_the_postgresql_crawl_frontier_with_leasing.md,xhigh,063
065,06 Safe crawling and rendering,Implement canonical URL normalization and scope policy,prompts/065_implement_canonical_url_normalization_and_scope_policy.md,xhigh,064
066,06 Safe crawling and rendering,Implement RFC 9309 robots parsing and policy,prompts/066_implement_rfc_9309_robots_parsing_and_policy.md,xhigh,065
067,06 Safe crawling and rendering,Implement sitemap discovery and bounded XML parsing,prompts/067_implement_sitemap_discovery_and_bounded_xml_parsing.md,xhigh,066
068,06 Safe crawling and rendering,Implement the SSRF-safe destination resolver and connection policy,prompts/068_implement_the_ssrf_safe_destination_resolver_and_connection_policy.md,xhigh,067
069,06 Safe crawling and rendering,Implement the bounded HTTP fetcher and redirect handling,prompts/069_implement_the_bounded_http_fetcher_and_redirect_handling.md,xhigh,068
070,06 Safe crawling and rendering,Implement private artifact storage and lifecycle,prompts/070_implement_private_artifact_storage_and_lifecycle.md,xhigh,069
071,06 Safe crawling and rendering,"Implement host politeness, concurrency and rate controls",prompts/071_implement_host_politeness_concurrency_and_rate_controls.md,xhigh,070
072,06 Safe crawling and rendering,Integrate weighted credit reservation with scan execution,prompts/072_integrate_weighted_credit_reservation_with_scan_execution.md,xhigh,071
073,06 Safe crawling and rendering,Implement static crawl orchestration,prompts/073_implement_static_crawl_orchestration.md,xhigh,072
074,06 Safe crawling and rendering,Implement HTML extraction and internal link graph,prompts/074_implement_html_extraction_and_internal_link_graph.md,high,073
075,06 Safe crawling and rendering,Implement dedicated Chromium/Ferrum render workers,prompts/075_implement_dedicated_chromium_ferrum_render_workers.md,xhigh,074
076,06 Safe crawling and rendering,Harden browser network interception and sandbox limits,prompts/076_harden_browser_network_interception_and_sandbox_limits.md,xhigh,075
077,06 Safe crawling and rendering,"Implement scan cancellation, recovery and targeted rescan",prompts/077_implement_scan_cancellation_recovery_and_targeted_rescan.md,xhigh,076
078,"07 Rules, findings and issue workflow",Implement the versioned SEO rule registry and result contract,prompts/078_implement_the_versioned_seo_rule_registry_and_result_contract.md,xhigh,077
079,"07 Rules, findings and issue workflow",Implement HTTP status and redirect rules,prompts/079_implement_http_status_and_redirect_rules.md,high,078
080,"07 Rules, findings and issue workflow","Implement robots, indexability and sitemap rules",prompts/080_implement_robots_indexability_and_sitemap_rules.md,xhigh,079
081,"07 Rules, findings and issue workflow",Implement canonical and hreflang rules,prompts/081_implement_canonical_and_hreflang_rules.md,xhigh,080
082,"07 Rules, findings and issue workflow","Implement metadata, content-structure and mobile rules",prompts/082_implement_metadata_content_structure_and_mobile_rules.md,high,081
083,"07 Rules, findings and issue workflow",Implement internal link and image rules,prompts/083_implement_internal_link_and_image_rules.md,high,082
084,"07 Rules, findings and issue workflow",Implement structured-data extraction and validation rules,prompts/084_implement_structured_data_extraction_and_validation_rules.md,xhigh,083
085,"07 Rules, findings and issue workflow",Implement source-versus-rendered parity rules,prompts/085_implement_source_versus_rendered_parity_rules.md,xhigh,084
086,"07 Rules, findings and issue workflow",Implement AI crawler policy matrix,prompts/086_implement_ai_crawler_policy_matrix.md,high,085
087,"07 Rules, findings and issue workflow","Implement finding persistence, deduplication and occurrences",prompts/087_implement_finding_persistence_deduplication_and_occurrences.md,xhigh,086
088,"07 Rules, findings and issue workflow","Implement severity, confidence and priority scoring",prompts/088_implement_severity_confidence_and_priority_scoring.md,xhigh,087
089,"07 Rules, findings and issue workflow","Implement issue workflow, assignment, comments and verified resolution",prompts/089_implement_issue_workflow_assignment_comments_and_verified_resolution.md,xhigh,088
090,08 Search and performance integrations,"Implement scan baselines, diffs and regressions",prompts/090_implement_scan_baselines_diffs_and_regressions.md,xhigh,089
091,08 Search and performance integrations,Implement encrypted integration credentials and token refresh,prompts/091_implement_encrypted_integration_credentials_and_token_refresh.md,xhigh,090
092,08 Search and performance integrations,Implement Search Console connection and property mapping,prompts/092_implement_search_console_connection_and_property_mapping.md,xhigh,091
093,08 Search and performance integrations,Implement Search Analytics import and read models,prompts/093_implement_search_analytics_import_and_read_models.md,xhigh,092
094,08 Search and performance integrations,Implement URL Inspection import,prompts/094_implement_url_inspection_import.md,xhigh,093
095,08 Search and performance integrations,Implement CrUX field-data client and history,prompts/095_implement_crux_field_data_client_and_history.md,high,094
096,08 Search and performance integrations,Implement isolated Lighthouse runner,prompts/096_implement_isolated_lighthouse_runner.md,xhigh,095
097,08 Search and performance integrations,"Build the field, lab and crawl performance read model",prompts/097_build_the_field_lab_and_crawl_performance_read_model.md,high,096
098,08 Search and performance integrations,Implement traffic-aware finding prioritization,prompts/098_implement_traffic_aware_finding_prioritization.md,xhigh,097
099,08 Search and performance integrations,Implement scheduled scans and dynamic recurring tasks,prompts/099_implement_scheduled_scans_and_dynamic_recurring_tasks.md,xhigh,098
100,09 Mobile discovery and release guard,Implement Android property and Digital Asset Links validation,prompts/100_implement_android_property_and_digital_asset_links_validation.md,xhigh,099
101,09 Mobile discovery and release guard,Implement Android manifest import and App Links analysis,prompts/101_implement_android_manifest_import_and_app_links_analysis.md,xhigh,100
102,09 Mobile discovery and release guard,Implement iOS AASA and Associated Domains validation,prompts/102_implement_ios_aasa_and_associated_domains_validation.md,xhigh,101
103,09 Mobile discovery and release guard,Implement App Store listing snapshots and audit,prompts/103_implement_app_store_listing_snapshots_and_audit.md,high,102
104,09 Mobile discovery and release guard,Implement Google Play listing snapshots and audit,prompts/104_implement_google_play_listing_snapshots_and_audit.md,high,103
105,09 Mobile discovery and release guard,Implement the web-to-app route map,prompts/105_implement_the_web_to_app_route_map.md,xhigh,104
106,09 Mobile discovery and release guard,Implement releases and authenticated incoming deployment webhooks,prompts/106_implement_releases_and_authenticated_incoming_deployment_webhooks.md,xhigh,105
107,09 Mobile discovery and release guard,Implement release guard policies and status publishing,prompts/107_implement_release_guard_policies_and_status_publishing.md,xhigh,106
108,"10 Reporting, API and administration",Implement immutable report snapshots and export,prompts/108_implement_immutable_report_snapshots_and_export.md,xhigh,107
109,"10 Reporting, API and administration",Implement scheduled reports and delivery,prompts/109_implement_scheduled_reports_and_delivery.md,high,108
110,"10 Reporting, API and administration","Implement email, Slack and in-app notifications",prompts/110_implement_email_slack_and_in_app_notifications.md,high,109
111,"10 Reporting, API and administration","Implement API keys, public API, outgoing webhooks and IndexNow",prompts/111_implement_api_keys_public_api_outgoing_webhooks_and_indexnow.md,xhigh,110
112,"10 Reporting, API and administration",Implement safe administration and operations dashboards,prompts/112_implement_safe_administration_and_operations_dashboards.md,xhigh,111
113,"10 Reporting, API and administration","Implement audit retention, privacy export and deletion workflows",prompts/113_implement_audit_retention_privacy_export_and_deletion_workflows.md,xhigh,112
114,11 Production hardening and launch,"Complete observability, metrics, tracing and alert definitions",prompts/114_complete_observability_metrics_tracing_and_alert_definitions.md,xhigh,113
115,11 Production hardening and launch,"Optimize indexes, query plans, partitioning and retention",prompts/115_optimize_indexes_query_plans_partitioning_and_retention.md,xhigh,114
116,11 Production hardening and launch,Build hardened production images and process topology,prompts/116_build_hardened_production_images_and_process_topology.md,xhigh,115
117,11 Production hardening and launch,Configure staging and production deployment with Kamal,prompts/117_configure_staging_and_production_deployment_with_kamal.md,xhigh,116
118,11 Production hardening and launch,"Execute production security, backup and disaster-recovery hardening",prompts/118_execute_production_security_backup_and_disaster_recovery_hardening.md,xhigh,117
119,11 Production hardening and launch,"Run final acceptance, pilot readiness and production MVP release review",prompts/119_run_final_acceptance_pilot_readiness_and_production_mvp_release_review.md,xhigh,118
